ssd_count,policy,policy_role,C,U,E,metric,value,unit,positive_change_meaning
1,ablation_c0_u1_e1,factorial_cell,0,1,1,p95_gpu_utilization_percent,96.86823937816995,%,改善
1,ablation_c0_u1_e1,factorial_cell,0,1,1,p95_ttft_us,1595285.2377846155,us,退化（时间变长）
1,ablation_c0_u1_e1,factorial_cell,0,1,1,processed_event_count,1394472,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,queue_weight_write_count,1030,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.active_demand_count,0,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.active_p_node_count,0,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.completed_coflow_count,512,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.compute_layer_count,4,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.coordination_enabled,False,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.deadline_allowance_us,750,us,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.decision_count,1024,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.edf_enabled,True,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.feasibility_conflict_count,378,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.finite_selected_pir,False,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.initial_decision_count,369,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.p_node_count,128,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.peak_assigned_cir_bytes_per_second.SSD0,40000000000,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.prefetch_decision_count,654,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.score_mode,integer,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.selection_change_count,516,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.starved_p_node_count,0,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.strategy,ablation_c0_u1_e1,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control.utility_enabled,True,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,rate_control_write_count,1158,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,request_count,456116,count,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,starvation_free,True,,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,wall_time_seconds,63.41821209900081,s,仅表示数值增加
1,ablation_c0_u1_e1,factorial_cell,0,1,1,worst_delta_us,1652204.1584,us,退化（超期增加）
1,ablation_c1_u0_e0,factorial_cell,1,0,0,byte_count,67257040896,bytes,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,cir_dispatch_count,439333,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,completed_inference_count,128,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,control_update_non_tick_write_count,0,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,control_update_period_us_by_storage_target.SSD0,80,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,control_update_tick_aligned_write_count,2176,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,excess_dispatch_count,16783,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,group_weight_write_count,0,count,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,last_completion_by_ssd_us.SSD0,1681488.92,,仅表示数值增加
1,ablation_c1_u0_e0,factorial_cell,1,0,0,late_gpu_layer_count,512,count,退化（数量增加）
