ssd_count,transition,transition_label_cn,attribution_scope,before_policy,after_policy,metric,metric_label_cn,before_value,after_value,signed_change,change_unit,signed_relative_change_percent,positive_change_meaning
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,p95_gpu_utilization_percent,P95 GPU 利用率,98.67142928760654,99.32194510007444,0.6505158124679014,pp,,改善
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,max_gpu_utilization_percent,最高 GPU 利用率,99.76620915101664,99.64948599414359,-0.11672315687305002,pp,,改善
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,mean_ttft_us,平均 TTFT,349426.6908686298,332308.2467719952,-17118.444096634572,us,-4.899008731725766,退化（时间变长）
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,p95_ttft_us,P95 TTFT,681498.3764512821,690377.0309333334,8878.654482051381,us,1.3028137393788912,退化（时间变长）
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,max_ttft_us,Max TTFT,763566.2591384616,768607.7951384616,5041.53600000008,us,0.6602617572034272,退化（时间变长）
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,late_gpu_layer_count,逾期 GPU layer 数,232.0,238.0,6.0,count,,退化（数量增加）
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,p95_delta_us,P95 预取超期量,44706.5199025641,41912.4208,-2794.099102564098,us,,退化（超期增加）
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,worst_delta_us,最坏预取超期量,53397.7328,134600.344,81202.61120000001,us,,退化（超期增加）
8,combined_cue,C/U/E 组合算法（111 - 000）,algorithm_factors,ablation_c0_u0_e0,ablation_c1_u1_e1,mean_actual_read_us,平均实际读取时间,31199.349848848164,39606.45519248801,8407.105343639843,us,26.946411974511776,退化（时间变长）
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,mean_gpu_utilization_percent,平均 GPU 利用率,84.5828581818932,84.5828581818932,0.0,pp,,改善
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,min_gpu_utilization_percent,最低 GPU 利用率,10.32929750745007,10.32929750745007,0.0,pp,,改善
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,p95_gpu_utilization_percent,P95 GPU 利用率,99.32194510007444,99.32194510007444,0.0,pp,,改善
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,max_gpu_utilization_percent,最高 GPU 利用率,99.64948599414359,99.64948599414359,0.0,pp,,改善
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,mean_ttft_us,平均 TTFT,332308.2467719952,332308.2467719952,0.0,us,0.0,退化（时间变长）
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,p95_ttft_us,P95 TTFT,690377.0309333334,690377.0309333334,0.0,us,0.0,退化（时间变长）
8,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,max_ttft_us,Max TTFT,768607.7951384616,768607.7951384616,0.0,us,0.0,退化（时间变长）
